strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,category,combined
alien walker,happy,creative,energetic,euphoric,uplifted,stress,pain,depression,insomnia,musclespasms,drymouth,dryeyes,anxious,dizzy,headache,earthy,citrus,pine,hybrid,"happy, creative, energetic, euphoric, uplifted, stress, pain, depression, insomnia, musclespasms, drymouth, dryeyes, anxious, dizzy, headache, earthy, citrus, pine, hybrid"
aliens on moonshine,uplifted,happy,relaxed,focused,euphoric,pain,stress,depression,musclespasms,cramps,drymouth,dizzy,dryeyes,headache,none,citrus,earthy,diesel,indica,"uplifted, happy, relaxed, focused, euphoric, pain, stress, depression, musclespasms, cramps, drymouth, dizzy, dryeyes, headache, none, citrus, earthy, diesel, indica"
allen iverson og,euphoric,happy,relaxed,focused,hungry,depression,insomnia,lackofappetite,stress,headaches,none,none,none,none,none,earthy,none,none,indica,"euphoric, happy, relaxed, focused, hungry, depression, insomnia, lackofappetite, stress, headaches, none, none, none, none, none, earthy, none, none, indica"
allen wrench,happy,uplifted,energetic,euphoric,focused,stress,depression,pain,fatigue,nausea,drymouth,anxious,dryeyes,dizzy,paranoid,pungent,earthy,citrus,sativa,"happy, uplifted, energetic, euphoric, focused, stress, depression, pain, fatigue, nausea, drymouth, anxious, dryeyes, dizzy, paranoid, pungent, earthy, citrus, sativa"
alley cat kush,aroused,creative,energetic,euphoric,focused,none,none,none,none,none,none,none,none,none,none,none,none,none,hybrid,"aroused, creative, energetic, euphoric, focused, none, none, none, none, none, none, none, none, none, none, none, none, none, hybrid"
allkush,happy,uplifted,focused,hungry,talkative,stress,depression,eyepressure,pain,none,drymouth,dryeyes,none,none,none,spicy/herbal,honey,earthy,indica,"happy, uplifted, focused, hungry, talkative, stress, depression, eyepressure, pain, none, drymouth, dryeyes, none, none, none, spicy/herbal, honey, earthy, indica"
aloha,happy,uplifted,euphoric,focused,relaxed,stress,depression,pain,nausea,fatigue,drymouth,dryeyes,dizzy,anxious,none,citrus,tropical,sweet,sativa,"happy, uplifted, euphoric, focused, relaxed, stress, depression, pain, nausea, fatigue, drymouth, dryeyes, dizzy, anxious, none, citrus, tropical, sweet, sativa"
aloha grape stomper,euphoric,happy,relaxed,uplifted,giggly,depression,fatigue,headaches,lackofappetite,spasticity,none,none,none,none,none,blueberry,grape,treefruit,hybrid,"euphoric, happy, relaxed, uplifted, giggly, depression, fatigue, headaches, lackofappetite, spasticity, none, none, none, none, none, blueberry, grape, treefruit, hybrid"
aloha limone,happy,relaxed,giggly,euphoric,uplifted,depression,fatigue,stress,pain,lackofappetite,dryeyes,drymouth,none,none,none,lemon,citrus,earthy,hybrid,"happy, relaxed, giggly, euphoric, uplifted, depression, fatigue, stress, pain, lackofappetite, dryeyes, drymouth, none, none, none, lemon, citrus, earthy, hybrid"
alohaberry,happy,energetic,euphoric,creative,uplifted,stress,pain,depression,nausea,musclespasms,drymouth,dryeyes,paranoid,none,none,berry,sweet,citrus,hybrid,"happy, energetic, euphoric, creative, uplifted, stress, pain, depression, nausea, musclespasms, drymouth, dryeyes, paranoid, none, none, berry, sweet, citrus, hybrid"
alpha blue,uplifted,energetic,happy,relaxed,focused,pain,stress,musclespasms,depression,fatigue,drymouth,anxious,dizzy,dryeyes,paranoid,sweet,diesel,berry,sativa,"uplifted, energetic, happy, relaxed, focused, pain, stress, musclespasms, depression, fatigue, drymouth, anxious, dizzy, dryeyes, paranoid, sweet, diesel, berry, sativa"
alpha express,energetic,uplifted,focused,creative,happy,insomnia,lackofappetite,cramps,depression,fatigue,drymouth,anxious,none,none,none,diesel,spicy/herbal,berry,sativa,"energetic, uplifted, focused, creative, happy, insomnia, lackofappetite, cramps, depression, fatigue, drymouth, anxious, none, none, none, diesel, spicy/herbal, berry, sativa"
alpha og,relaxed,euphoric,uplifted,sleepy,happy,insomnia,stress,depression,fatigue,headaches,drymouth,dryeyes,headache,dizzy,paranoid,earthy,pungent,pine,hybrid,"relaxed, euphoric, uplifted, sleepy, happy, insomnia, stress, depression, fatigue, headaches, drymouth, dryeyes, headache, dizzy, paranoid, earthy, pungent, pine, hybrid"
alpine blue,relaxed,sleepy,euphoric,uplifted,happy,pain,insomnia,stress,lackofappetite,depression,dryeyes,none,none,none,none,berry,earthy,honey,hybrid,"relaxed, sleepy, euphoric, uplifted, happy, pain, insomnia, stress, lackofappetite, depression, dryeyes, none, none, none, none, berry, earthy, honey, hybrid"
alpine star,uplifted,aroused,euphoric,creative,focused,stress,insomnia,pain,eyepressure,depression,drymouth,anxious,paranoid,dryeyes,headache,earthy,pine,woody,indica,"uplifted, aroused, euphoric, creative, focused, stress, insomnia, pain, eyepressure, depression, drymouth, anxious, paranoid, dryeyes, headache, earthy, pine, woody, indica"
als dream,energetic,talkative,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,hybrid,"energetic, talkative, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, hybrid"
altoyd,sleepy,none,none,none,none,headaches,none,none,none,none,dizzy,headache,none,none,none,none,none,none,hybrid,"sleepy, none, none, none, none, headaches, none, none, none, none, dizzy, headache, none, none, none, none, none, none, hybrid"
ambrosia,relaxed,aroused,sleepy,happy,uplifted,stress,depression,headaches,pain,insomnia,drymouth,dryeyes,anxious,paranoid,dizzy,flowery,sage,treefruit,hybrid,"relaxed, aroused, sleepy, happy, uplifted, stress, depression, headaches, pain, insomnia, drymouth, dryeyes, anxious, paranoid, dizzy, flowery, sage, treefruit, hybrid"
american beauty,euphoric,relaxed,sleepy,uplifted,creative,insomnia,stress,pain,headaches,nausea,dryeyes,drymouth,none,none,none,mango,peach,tropical,indica,"euphoric, relaxed, sleepy, uplifted, creative, insomnia, stress, pain, headaches, nausea, dryeyes, drymouth, none, none, none, mango, peach, tropical, indica"
american dream,euphoric,creative,happy,uplifted,energetic,stress,pain,depression,nausea,lackofappetite,drymouth,dizzy,anxious,dryeyes,headache,skunk,earthy,pungent,hybrid,"euphoric, creative, happy, uplifted, energetic, stress, pain, depression, nausea, lackofappetite, drymouth, dizzy, anxious, dryeyes, headache, skunk, earthy, pungent, hybrid"
american kush,relaxed,happy,tingly,sleepy,euphoric,eyepressure,pain,stress,musclespasms,headaches,dizzy,dryeyes,drymouth,headache,anxious,sweet,coffee,spicy/herbal,indica,"relaxed, happy, tingly, sleepy, euphoric, eyepressure, pain, stress, musclespasms, headaches, dizzy, dryeyes, drymouth, headache, anxious, sweet, coffee, spicy/herbal, indica"
american pie,euphoric,relaxed,uplifted,happy,creative,depression,stress,none,none,none,none,none,none,none,none,earthy,pine,sweet,hybrid,"euphoric, relaxed, uplifted, happy, creative, depression, stress, none, none, none, none, none, none, none, none, earthy, pine, sweet, hybrid"
americano,euphoric,relaxed,aroused,creative,focused,headaches,nausea,pain,none,none,dryeyes,none,none,none,none,earthy,diesel,lemon,indica,"euphoric, relaxed, aroused, creative, focused, headaches, nausea, pain, none, none, dryeyes, none, none, none, none, earthy, diesel, lemon, indica"
amethyst,happy,relaxed,euphoric,giggly,hungry,stress,depression,pain,fatigue,none,drymouth,dryeyes,none,none,none,sweet,none,none,hybrid,"happy, relaxed, euphoric, giggly, hungry, stress, depression, pain, fatigue, none, drymouth, dryeyes, none, none, none, sweet, none, none, hybrid"
amethyst bud,euphoric,uplifted,creative,happy,relaxed,stress,insomnia,nausea,pain,depression,drymouth,dryeyes,headache,paranoid,none,berry,woody,sweet,hybrid,"euphoric, uplifted, creative, happy, relaxed, stress, insomnia, nausea, pain, depression, drymouth, dryeyes, headache, paranoid, none, berry, woody, sweet, hybrid"
amherst sour diesel,uplifted,euphoric,relaxed,energetic,happy,depression,fatigue,stress,musclespasms,pain,drymouth,dryeyes,none,none,none,earthy,flowery,pungent,hybrid,"uplifted, euphoric, relaxed, energetic, happy, depression, fatigue, stress, musclespasms, pain, drymouth, dryeyes, none, none, none, earthy, flowery, pungent, hybrid"
amnesia,happy,uplifted,energetic,relaxed,euphoric,stress,depression,pain,lackofappetite,insomnia,drymouth,paranoid,dizzy,dryeyes,anxious,earthy,citrus,lemon,sativa,"happy, uplifted, energetic, relaxed, euphoric, stress, depression, pain, lackofappetite, insomnia, drymouth, paranoid, dizzy, dryeyes, anxious, earthy, citrus, lemon, sativa"
amnesia ganja haze,creative,euphoric,happy,relaxed,none,none,none,none,none,none,drymouth,none,none,none,none,spicy/herbal,sweet,tropical,sativa,"creative, euphoric, happy, relaxed, none, none, none, none, none, none, drymouth, none, none, none, none, spicy/herbal, sweet, tropical, sativa"
amnesia haze,happy,euphoric,uplifted,relaxed,energetic,stress,depression,pain,insomnia,fatigue,drymouth,dryeyes,paranoid,dizzy,anxious,citrus,earthy,lemon,sativa,"happy, euphoric, uplifted, relaxed, energetic, stress, depression, pain, insomnia, fatigue, drymouth, dryeyes, paranoid, dizzy, anxious, citrus, earthy, lemon, sativa"
amnesia og,relaxed,euphoric,happy,uplifted,focused,stress,depression,nausea,pain,fatigue,drymouth,none,none,none,none,diesel,cheese,citrus,sativa,"relaxed, euphoric, happy, uplifted, focused, stress, depression, nausea, pain, fatigue, drymouth, none, none, none, none, diesel, cheese, citrus, sativa"
ancient kush,aroused,creative,energetic,focused,giggly,stress,headaches,lackofappetite,pain,none,anxious,dizzy,dryeyes,drymouth,paranoid,cheese,skunk,citrus,indica,"aroused, creative, energetic, focused, giggly, stress, headaches, lackofappetite, pain, none, anxious, dizzy, dryeyes, drymouth, paranoid, cheese, skunk, citrus, indica"
ancient og,relaxed,euphoric,sleepy,uplifted,happy,stress,insomnia,depression,pain,musclespasms,drymouth,dizzy,dryeyes,paranoid,none,pine,lemon,citrus,indica,"relaxed, euphoric, sleepy, uplifted, happy, stress, insomnia, depression, pain, musclespasms, drymouth, dizzy, dryeyes, paranoid, none, pine, lemon, citrus, indica"
anesthesia,relaxed,sleepy,happy,euphoric,uplifted,pain,stress,insomnia,depression,musclespasms,drymouth,dryeyes,dizzy,paranoid,headache,earthy,pungent,woody,indica,"relaxed, sleepy, happy, euphoric, uplifted, pain, stress, insomnia, depression, musclespasms, drymouth, dryeyes, dizzy, paranoid, headache, earthy, pungent, woody, indica"
angel og,sleepy,relaxed,euphoric,uplifted,happy,insomnia,pain,stress,fatigue,musclespasms,drymouth,dryeyes,dizzy,anxious,headache,pungent,berry,diesel,indica,"sleepy, relaxed, euphoric, uplifted, happy, insomnia, pain, stress, fatigue, musclespasms, drymouth, dryeyes, dizzy, anxious, headache, pungent, berry, diesel, indica"
animal blues,focused,uplifted,euphoric,talkative,relaxed,spasticity,pain,stress,cramps,headaches,drymouth,none,none,none,none,earthy,chestnut,sweet,hybrid,"focused, uplifted, euphoric, talkative, relaxed, spasticity, pain, stress, cramps, headaches, drymouth, none, none, none, none, earthy, chestnut, sweet, hybrid"
animal gas,euphoric,creative,happy,relaxed,uplifted,depression,fatigue,headaches,insomnia,nausea,none,none,none,none,none,diesel,chemical,earthy,hybrid,"euphoric, creative, happy, relaxed, uplifted, depression, fatigue, headaches, insomnia, nausea, none, none, none, none, none, diesel, chemical, earthy, hybrid"
animal mint,euphoric,giggly,happy,relaxed,talkative,none,none,none,none,none,none,none,none,none,none,mint,sweet,none,hybrid,"euphoric, giggly, happy, relaxed, talkative, none, none, none, none, none, none, none, none, none, none, mint, sweet, none, hybrid"
animal sherbert,aroused,energetic,euphoric,focused,giggly,none,none,none,none,none,anxious,dizzy,dryeyes,drymouth,paranoid,earthy,nutty,pungent,hybrid,"aroused, energetic, euphoric, focused, giggly, none, none, none, none, none, anxious, dizzy, dryeyes, drymouth, paranoid, earthy, nutty, pungent, hybrid"
anonymous og,relaxed,sleepy,happy,euphoric,hungry,eyepressure,insomnia,lackofappetite,nausea,stress,paranoid,drymouth,dizzy,dryeyes,none,earthy,citrus,diesel,indica,"relaxed, sleepy, happy, euphoric, hungry, eyepressure, insomnia, lackofappetite, nausea, stress, paranoid, drymouth, dizzy, dryeyes, none, earthy, citrus, diesel, indica"
anubis,relaxed,euphoric,uplifted,talkative,happy,stress,depression,pain,insomnia,fatigue,anxious,dryeyes,drymouth,none,none,grape,lime,citrus,indica,"relaxed, euphoric, uplifted, talkative, happy, stress, depression, pain, insomnia, fatigue, anxious, dryeyes, drymouth, none, none, grape, lime, citrus, indica"
ape shit,happy,giggly,uplifted,relaxed,euphoric,depression,eyepressure,insomnia,stress,headaches,drymouth,dryeyes,none,none,none,grape,sweet,blueberry,hybrid,"happy, giggly, uplifted, relaxed, euphoric, depression, eyepressure, insomnia, stress, headaches, drymouth, dryeyes, none, none, none, grape, sweet, blueberry, hybrid"
apollo 11,tingly,euphoric,uplifted,relaxed,aroused,stress,pain,insomnia,inflammation,musclespasms,drymouth,dizzy,anxious,dryeyes,headache,citrus,pine,pungent,hybrid,"tingly, euphoric, uplifted, relaxed, aroused, stress, pain, insomnia, inflammation, musclespasms, drymouth, dizzy, anxious, dryeyes, headache, citrus, pine, pungent, hybrid"
apollo 13,uplifted,relaxed,aroused,euphoric,happy,stress,pain,fatigue,nausea,cramps,dizzy,drymouth,dryeyes,paranoid,headache,earthy,pungent,woody,hybrid,"uplifted, relaxed, aroused, euphoric, happy, stress, pain, fatigue, nausea, cramps, dizzy, drymouth, dryeyes, paranoid, headache, earthy, pungent, woody, hybrid"
apollo 13 haze,creative,energetic,euphoric,focused,happy,depression,fatigue,none,none,none,anxious,dryeyes,none,none,none,citrus,earthy,flowery,hybrid,"creative, energetic, euphoric, focused, happy, depression, fatigue, none, none, none, anxious, dryeyes, none, none, none, citrus, earthy, flowery, hybrid"
apollo haze,euphoric,relaxed,talkative,uplifted,creative,none,none,none,none,none,dryeyes,drymouth,headache,none,none,cheese,chemical,citrus,hybrid,"euphoric, relaxed, talkative, uplifted, creative, none, none, none, none, none, dryeyes, drymouth, headache, none, none, cheese, chemical, citrus, hybrid"
appalachia,relaxed,happy,uplifted,hungry,euphoric,pain,stress,inflammation,nausea,insomnia,drymouth,dryeyes,anxious,paranoid,none,skunk,earthy,pine,hybrid,"relaxed, happy, uplifted, hungry, euphoric, pain, stress, inflammation, nausea, insomnia, drymouth, dryeyes, anxious, paranoid, none, skunk, earthy, pine, hybrid"
appalachian power,euphoric,creative,focused,energetic,happy,none,none,none,none,none,none,none,none,none,none,grape,tropical,citrus,sativa,"euphoric, creative, focused, energetic, happy, none, none, none, none, none, none, none, none, none, none, grape, tropical, citrus, sativa"
apple jack,relaxed,uplifted,happy,focused,euphoric,depression,stress,pain,insomnia,nausea,drymouth,dryeyes,paranoid,dizzy,anxious,apple,earthy,sweet,hybrid,"relaxed, uplifted, happy, focused, euphoric, depression, stress, pain, insomnia, nausea, drymouth, dryeyes, paranoid, dizzy, anxious, apple, earthy, sweet, hybrid"
apple kush,euphoric,happy,uplifted,relaxed,creative,stress,depression,pain,insomnia,cramps,dryeyes,drymouth,dizzy,headache,anxious,apple,diesel,sweet,hybrid,"euphoric, happy, uplifted, relaxed, creative, stress, depression, pain, insomnia, cramps, dryeyes, drymouth, dizzy, headache, anxious, apple, diesel, sweet, hybrid"
appleberry,relaxed,happy,uplifted,hungry,euphoric,stress,depression,pain,musclespasms,fatigue,drymouth,anxious,paranoid,none,none,apple,flowery,blueberry,indica,"relaxed, happy, uplifted, hungry, euphoric, stress, depression, pain, musclespasms, fatigue, drymouth, anxious, paranoid, none, none, apple, flowery, blueberry, indica"
arabian gold,sleepy,relaxed,euphoric,creative,hungry,stress,insomnia,pain,none,none,drymouth,dryeyes,dizzy,paranoid,none,none,none,none,sativa,"sleepy, relaxed, euphoric, creative, hungry, stress, insomnia, pain, none, none, drymouth, dryeyes, dizzy, paranoid, none, none, none, none, sativa"
arctic sun,creative,relaxed,energetic,euphoric,focused,stress,none,none,none,none,none,none,none,none,none,ammonia,skunk,none,hybrid,"creative, relaxed, energetic, euphoric, focused, stress, none, none, none, none, none, none, none, none, none, ammonia, skunk, none, hybrid"
arcticblue,relaxed,happy,creative,euphoric,aroused,stress,insomnia,pain,depression,inflammation,drymouth,anxious,dryeyes,dizzy,none,blueberry,sweet,earthy,hybrid,"relaxed, happy, creative, euphoric, aroused, stress, insomnia, pain, depression, inflammation, drymouth, anxious, dryeyes, dizzy, none, blueberry, sweet, earthy, hybrid"
